if. postaje;Tip podatka;Èas;Vrednost;Ekstrem;Std. opomba;Opomba;Preneseno;Ime upor.;Èas sprem.
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);23.01.2017 14:25:00;170;;;;0;KM-ORA_LOAD;30.01.2017 14:33:24
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);31.01.2017 15:45:00;174;;;;0;KM-ORA_LOAD;31.01.2017 22:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);04.02.2017 11:50:00;206;;;;0;KM-ROBIC;07.02.2017 06:43:16
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.02.2017 08:50:00;229;;;;0;KM-ORA_LOAD;13.02.2017 09:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);20.02.2017 15:25:00;186;;;;0;KM-ORA_LOAD;20.02.2017 18:12:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.02.2017 06:45:00;208;;;;0;KM-ORA_LOAD;27.02.2017 08:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);06.03.2017 09:55:00;192;;;;0;KM-ORA_LOAD;07.03.2017 11:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.03.2017 06:50:00;213;;;;0;KM-ORA_LOAD;14.03.2017 14:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);22.03.2017 08:35:00;209;;;;0;KM-ORA_LOAD;22.03.2017 20:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.03.2017 08:30:00;228;;;;0;KM-ORA_LOAD;24.03.2017 09:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);27.03.2017 06:00:00;203;;;;0;KM-ORA_LOAD;04.04.2017 13:22:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.04.2017 06:45:00;182;;;;0;KM-ORA_LOAD;03.04.2017 22:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.04.2017 09:00:00;221;;;;0;KM-ROBIC;10.04.2017 06:41:12
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);12.04.2017 05:50:00;170;;;;0;KM-ORA_LOAD;12.04.2017 07:12:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);15.04.2017 09:50:00;231;;;;0;KM-ROBIC;18.04.2017 08:40:10
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);18.04.2017 05:55:00;206;;;;0;KM-ORA_LOAD;18.04.2017 20:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.04.2017 06:30:00;230;;;;0;KM-ORA_LOAD;24.04.2017 08:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.05.2017 05:35:00;202;;;;0;KM-ORA_LOAD;03.05.2017 06:32:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);08.05.2017 05:45:00;230;;;;0;KM-ORA_LOAD;08.05.2017 07:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);17.05.2017 05:20:00;183;;;;0;KM-ORA_LOAD;17.05.2017 06:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);23.05.2017 05:40:00;228;;;;0;KM-ORA_LOAD;23.05.2017 06:12:06
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.05.2017 05:45:00;158;;;;0;KM-ORA_LOAD;29.05.2017 06:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);13.06.2017 14:50:00;228;;;;0;KM-ORA_LOAD;16.06.2017 06:02:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);19.06.2017 05:20:00;215;;;;0;KM-ORA_LOAD;19.06.2017 05:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);29.06.2017 05:50:00;207;;;;0;KM-ORA_LOAD;29.06.2017 07:02:03
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);03.07.2017 06:10:00;227;;;;0;KM-ORA_LOAD;14.07.2017 10:52:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);17.07.2017 05:45:00;216;;;;0;KM-ORA_LOAD;17.07.2017 06:22:01
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);24.07.2017 05:35:00;182;;;;0;KM-ORA_LOAD;24.07.2017 07:42:02
9350;vodostaj-opazovanja-urni-trenutne vrednosti (cm);01.08.2017 05:35:00;216;;;;0;KM-ORA_LOAD;01.08.2017 06:22:02
